Source,Council Member,Legal Name of Organization,EIN,Status,Amount ($,Agency,Program Name,Address,Address 2 (optional,City,State,Zip Code,Purpose of Funds,Fiscal Conduit Name,FC EIN
LOCAL,Gentile,Brooklyn Children's Museum,112495664,,2500,DYCD,,145 Brooklyn Avenue,,Brooklyn,NY,11213-1930,"Funds will provide free after school programming to children and youth in elementary, middle and high school, including homework help, college preparation, mentoring, special arts projects, field trips, and physical education.",,
YOUTH,Mealy,Brooklyn Children's Museum,112495664,,5000,DYCD,,145 Brooklyn Avenue,,Brooklyn,NY,11213-1930,"The funds will be used to support the Brooklyn Children's Museum 's after school programming. The funds will provide staff salaries, general operating costs, supplies, and equipment for the Museum Team after-school program. ",,
YOUTH,Greenfield,Brooklyn Children's Museum,112495664,,2500,DYCD,,145 Brooklyn Avenue,,Brooklyn,NY,11213-1930,Funds to support the School Group Adventures program. ,,
LOCAL,Gentile,"Brooklyn Chinese-American Association, Inc.",113065859,*,5500,DYCD,,5002 8th Aveune,,Brooklyn,NY,11220,Funds will support youth and community programming.,,
AGING,Gentile,"Brooklyn Chinese-American Association, Inc.",113065859,,4500,DFTA,,5002 8th Aveune,,Brooklyn,NY,11220,"Funds will provide recreational and educational activities, monthly birthday parties, and facility rental and insurance costs at the Sixth Avenue Senior Citizens Center.",,
YOUTH,Treyger ,"Brooklyn Chinese-American Association, Inc.",113065859,,4000,DYCD,,5002 8th Aveune,,Brooklyn,NY,11220,"Funds will be used towards BCA’s After-School Expansion and Enrichment Program at PS 97 including but not limited to, hiring Educational/Recreational Specialists, purchasing arts and crafts supplies and taking students on field trips.",,
AGING,Greenfield,"Brooklyn Chinese-American Association, Inc.",113065859,,6000,DFTA,,5002 8th Aveune,,Brooklyn,NY,11220,"Funds will be used for educational and recreational activities, as well as to defray cost of facility rental at the Bensonhurst Senior Center.",,
AGING,Lander,"Brooklyn Chinese-American Association, Inc.",113065859,,5000,DFTA,,5002 8th Aveune,,Brooklyn,NY,11220,To support recreational and educational activities for seniors at Sunset Park Senior Citizens Center.,,
AGING,Menchaca,"Brooklyn Chinese-American Association, Inc.",113065859,,11000,DFTA,,5002 8th Aveune,,Brooklyn,NY,11220,"Funds to support recreational and educational activities, monthly birthday parties, as well as facility rental and insurance costs at our Sunset Park Senior Citizens Center and Sixth Avenue Senior Citizens Center.",,
YOUTH,Menchaca,"Brooklyn Chinese-American Association, Inc.",113065859,,10000,DYCD,,5002 8th Aveune,,Brooklyn,NY,11220,"Funds will be used toward BCA’s After-School Expansion and Enrichment Program at PS 105 including: hiring Educational/Recreational Specialists, purchasing arts and crafts supplies and taking students on field trips.",,
LOCAL,Speaker,"Brooklyn Chinese-American Association, Inc.",113065859,,30000,DFTA,,5002 8th Aveune,,Brooklyn,NY,11220,"Funds to provide recreational and educational activities, monthly birthday parties as well as facility rental and insurance costs for BCA's four Senior Centers: Sunset Park Senior Citizens Center, Sixth Avenue Senior Citizens Center, Bensonhurst Senior Citizens Center and Avenue U Senior Citizens Center.",,
YOUTH,Treyger ,"Brooklyn City Streetcar Company, Inc.",200084429,,2000,DYCD,,1360 Ocean Parkway Ste6L,,Brooklyn,NY,11230,"To support art exhibits, events and performances by artists and students, art enrichment programs for schools, youth organizations, senior centers, community groups, and a major annual art event for Brooklyn.",,
LOCAL,Williams,Brooklyn College Academy,136400434,,3500,DOE,,350 Coney Island Avenue,,Brooklyn,NY,11218,"The funding will be used to renovate, upgrade and expand school science lab. ",,
LOCAL,Levin,Brooklyn Community Board # 6,136400434,,3500,BKCB,,250 Baltic Street,,Brooklyn,NY,11201,"To supplement Brooklyn CB6 resources and to perform outreach to encourage and facilitate citizen participation in government within their community, per the Community Boards City Charter mandate.",,
LOCAL,Lander,Brooklyn Community Board # 6,136400434,,3500,BKCB,,250 Baltic Street,,Brooklyn,NY,11201,To support operating expenses.,,
LOCAL,Menchaca,Brooklyn Community Board # 6,136400434,,3500,BKCB,,250 Baltic Street,,Brooklyn,NY,11201,"Funds to supplement Brooklyn CB6 resources and to perform outreach to encourage and facilitate citizen participation in government within their community, per the Community Boards City Charter mandate.",,
LOCAL,Gentile,Brooklyn Community Board #10,136400434,,3500,BKCB,,8119 5th Avenue,,Brooklyn,NY,11209,Funds will support services to the community performed by the Community Board and pay for materials used by the Board.,,
LOCAL,Gentile,Brooklyn Community Board #11,136400434,,3500,BKCB,,2214 Bath Avenue,,Brooklyn,NY,11214,Funds will support services to the community performed by the Community Board and pay for materials used by the Board.,,
AGING,Cumbo,"Brooklyn Community Pride Center, Inc.",262214534,,6500,DFTA,,4 Metrotech Ground Floor,,Brooklyn,NY,11201,"Funding will be used towards Eldercare programming and outreach, including development expenses associated with expanding the program. ",,
YOUTH,Dromm,"Brooklyn Community Pride Center, Inc.",262214534,,3500,DYCD,,4 Metrotech Ground Floor,,Brooklyn,NY,11201,To support Brooklyn Youth United programming and outreach and expenses associated with regular meetings in a safe and welcoming space,,
LOCAL,Gentile,"Brooklyn Community Pride Center, Inc.",262214534,,2500,DFTA,,4 Metrotech Ground Floor,,Brooklyn,NY,11201,"Funds will support two ElderPRIDE programs: senior social gatherings and an LGBTQ friendly and culturally competent series called ""Some Like It Hot"".",,
AGING,Levin,"Brooklyn Community Pride Center, Inc.",262214534,,3500,DFTA,,4 Metrotech Ground Floor,,Brooklyn,NY,11201,To provide Eldercare programming and outreach.,,
YOUTH,Reynoso,"Brooklyn Community Pride Center, Inc.",262214534,,7500,DYCD,,4 Metrotech Ground Floor,,Brooklyn,NY,11201,"To support Brooklyn Youth United, an after-school and weekend program for high school students. Funds will be used for continued programming and outreach; leadership development, mentoring, peer counseling, social support and cultural programming; and participation in Communities United for Police Reform and No Condoms as Evidence coalitions. ",,
AGING,Lander,"Brooklyn Community Pride Center, Inc.",262214534,,10000,DFTA,,4 Metrotech Ground Floor,,Brooklyn,NY,11201,To support programming and outreach for LGBT seniors,,
LOCAL,Menchaca,"Brooklyn Community Pride Center, Inc.",262214534,,5000,DYCD,,4 Metrotech Ground Floor,,Brooklyn,NY,11201,"To support the Brooklyn Community Pride Center as a service provider to Brooklyn’s immigrant and detainee population, including youth, aging, and families. Funds will be used for continued outreach and program development and expansion.",,
YOUTH,Williams,"Brooklyn Community Pride Center, Inc.",262214534,,6000,DYCD,,4 Metrotech Ground Floor,,Brooklyn,NY,11201,Funding for after school and weekends programs,,
LOCAL,Speaker,"Brooklyn Community Pride Center, Inc.",262214534,,25000,DYCD,,4 Metrotech Ground Floor,,Brooklyn,NY,11201,"Funding to provide towards case management, benefits assistance, information, referral and family support services for Brooklyn’s growing LGBTQ population, including youth, aging and families.",,
LOCAL,Gentile,"Brooklyn Congregations United, Inc.",611567317,*,3500,DYCD,,890 Flatbush Avenue,,Brooklyn,NY,11226,"Funds will be used to train and develop leaders to organize their communities to improve local neighborhoods.
",,
LOCAL,Eugene,"Brooklyn Congregations United, Inc.",611567317,,5000,DYCD,,890 Flatbush Avenue,,Brooklyn,NY,11226,"To support operating costs for the following programs at the Brooklyn Congregations United Inc.: leadership and development training, community organizing and campaigns for community health, affordable housing, and economic justice.",,
LOCAL,Lander,"Brooklyn Congregations United, Inc.",611567317,,3500,DYCD,,890 Flatbush Avenue,,Brooklyn,NY,11226,To support training and leadership development programs.  Funding will pay for staff salaries and associated costs.,,
YOUTH,Williams,"Brooklyn Congregations United, Inc.",611567317,*,3500,DYCD,,890 Flatbush Avenue,,Brooklyn,NY,11226,Funding for community leader program,,
LOCAL,Cornegy,Brooklyn Defender Services,113305406,,12500,DYCD,,177 Livingston St,7th fl,Brooklyn,NY,11201,To provide support for the Civil Justice Program.,,
LOCAL,Cumbo,Brooklyn Defender Services,113305406,,4500,DYCD,,177 Livingston St,7th fl,Brooklyn,NY,11201,"Funds will be used to expand program services and build greater capacity to do more community-based work. In addition these funds will provide unfunded legal and social work services, and to hire staff positions to provide supplemental services to address the civil legal needs of justice and child welfare involved adults, youth and their families.",,
LOCAL,Maisel,Brooklyn Defender Services,113305406,,2500,DYCD,,177 Livingston St,7th fl,Brooklyn,NY,11201,To provide services in the Civil Justice Program to residents of Brooklyn.,,
LOCAL,Greenfield,Brooklyn Defender Services,113305406,,2500,DYCD,,177 Livingston St,7th fl,Brooklyn,NY,11201,"Funds will be used to operate the Civil Justice Program which provides enhanced services to clients who are indigent residents of Brooklyn.  Representing over 40,000 people per year, funds will be allocated towards staff salaries to provide additional unfunded legal and social work services, including specialized services for immigrants and adolescents.  ",,
LOCAL,Lander,Brooklyn Defender Services,113305406,,3500,DYCD,,177 Livingston St,7th fl,Brooklyn,NY,11201,"To support a Youth and Family Justice Initiative.  Funding will pay for social worker and investigator positions and education, advocacy and outreach.",,
LOCAL,Williams,Brooklyn Defender Services,113305406,,10000,DYCD,,177 Livingston St,7th fl,Brooklyn,NY,11201,Funding to  support  the Civil Justice Program ,,
LOCAL,Speaker,Brooklyn Defender Services,113305406,,50000,DYCD,,177 Livingston St,7th fl,Brooklyn,NY,11201,"Funds for the Youth and Family Justice Initiative which provides criminal defense, family defense, and cutting-edge policy advocacy for youth impacted by the criminal justice and family law systems. Funds will go toward the hiring of social work, education advocacy, policy advocacy and investigator positions. Funds will also go toward a community liaison to coordinate the Know Your Rights and other outreach with community-based agencies, elected officials, churches and community members for our Strengthening Communities/Strengthening Families project.",,
YOUTH,Gentile,"Brooklyn Extreme Flag Football, Inc.",260789598,,3500,DYCD,,1065 60th Street,,Brooklyn,NY,11219,"Funds will provide equipment and other program costs and support underprivileged children participating for free or for a significantly discounted fee in a flag football program for youth that teaches the rules of the game, discipline, character, and sportsmanship. ",,
LOCAL,Eugene,"Brooklyn Film Society, Inc.",271893622,,8000,DYCD,,180 South 4th Street,Suite 2S,Brooklyn,NY,11211,"To support ""Brooklyn Film Pride"",  a two day film event that showcases the films of Brooklyn filmmakers.    ",,
LOCAL,Levin,Brooklyn Frontiers High School,136400434,,2800,DOE,,,,,,,To provide after school tutoring program.,,
LOCAL,Levin,"Brooklyn Greenway Initiative, Inc.",203283721,,3500,DYCD,,153 Columbia Street,,Brooklyn,NY,11231,To provide programming and services to ensure the long-term viability of the Brooklyn Waterfront Greenway.,,
LOCAL,Lander,"Brooklyn Greenway Initiative, Inc.",203283721,,5000,DYCD,,153 Columbia Street,,Brooklyn,NY,11231,"To support programming and services for the Brooklyn Waterfront Greenway, including personnel expenses.",,
LOCAL,Menchaca,"Brooklyn Greenway Initiative, Inc.",203283721,,5000,DYCD,,153 Columbia Street,,Brooklyn,NY,11231,"Funding to support programming/services including project coordination; design of open spaces; development of green infrastructure; public workshops; and membership, maintenance and stewardship programs.",,
LOCAL,Levin,Brooklyn Heights Association Inc.,111504005,,3500,DPR,,55 Pierrepont Street,Box 17D,Brooklyn,NY,11201,To support maintenance of the Promenade Garden.,,
LOCAL,Cornegy,"Brooklyn Historical Society, The",111630813,,5000,DCLA,,128 Pierrepont Street,,Brooklyn,NY,11201-2711,To support free school tours for students in grades K-12—held at the Historical Society and at the Brooklyn Navy Yard Center,,
LOCAL,Cumbo,"Brooklyn Historical Society, The",111630813,,3500,DCLA,,128 Pierrepont Street,,Brooklyn,NY,11201-2711,Funds  to support free school tours for grades K-12 and ongoing outreach to students across all neighborhoods in Brooklyn.,,
LOCAL,Gentile,"Brooklyn Historical Society, The",111630813,,2500,DCLA,,128 Pierrepont Street,,Brooklyn,NY,11201-2711,"Funds will be used to support school group tours, to offer students the opportunity to learn about their local history.
",,
LOCAL,Levin,"Brooklyn Historical Society, The",111630813,,3500,DCLA,,128 Pierrepont Street,,Brooklyn,NY,11201-2711,To support free school tours for grades K-12—held at the Historical Society and at the Brooklyn Navy Yard Center at BLDG 92.,,
LOCAL,Mealy,"Brooklyn Historical Society, The",111630813,,5000,DCLA,,128 Pierrepont Street,,Brooklyn,NY,11201-2711, Funding will help Brooklyn Historical Society provide free school tours to Brooklyn students. The funding will help pay for the cost of operating BHS and paying experienced museum educators. ,,
LOCAL,Greenfield,"Brooklyn Historical Society, The",111630813,,2500,DCLA,,128 Pierrepont Street,,Brooklyn,NY,11201-2711,"Funds will cover costs of museum-based school tour programs which, led by museum educators, provide students the opportunity to explore and investigate Brooklyn’s past through access to archival documents, artifacts, and other primary sources.",,
LOCAL,Lander,"Brooklyn Historical Society, The",111630813,,3500,DCLA,,128 Pierrepont Street,,Brooklyn,NY,11201-2711,"To support the creation of online cirricula for the Crossing Borders, Bridging Generations oral history project for use by K-12 teachers to use with students. ",,
LOCAL,Deutsch,"Brooklyn Housing and Family Services, Inc.",112412584,,25000,HPD,,415 Albemarle Road,,Brooklyn,NY,11218-2351,Funding to provide intervention services to tenants of distressed low and moderate priced multiple-dwellings. ,,
LOCAL,Gentile,"Brooklyn Housing and Family Services, Inc.",112412584,,3500,HPD,,415 Albemarle Road,,Brooklyn,NY,11218-2351,Funds will be used to provide assistance to families facing eviction and foreclosure.,,
LOCAL,Maisel,"Brooklyn Housing and Family Services, Inc.",112412584,,3500,HPD,,415 Albemarle Road,,Brooklyn,NY,11218-2351,To provide counseling services for tenants in multiple dwellings and provide homeowners with information to help prevent foreclosure.,,
LOCAL,Treyger ,"Brooklyn Housing and Family Services, Inc.",112412584,,3000,HPD,,415 Albemarle Road,,Brooklyn,NY,11218-2351,"Funds will be used to provide specialized services to victims of “Sandy”, intervention in low and moderate priced multiple-dwellings identified as needing intervention. This intervention will stabilize the building and ensure the continuing availability of truly affordable housing in Brooklyn. Low income seniors, disabled and low-income families will be assisted with SCRIE, DRIE and FEPS applications to subsidize their rent. Tenants will be assisted when being threatened with eviction due to non-payment issues, harassment and other tenancy challenges. Intervention will be provided to residents with environmental hazards such as the presence of lead, mold, vermin and other infestations. Assistance will be provided to homeowners facing foreclosure.",,
LOCAL,Greenfield,"Brooklyn Housing and Family Services, Inc.",112412584,,7500,HPD,,415 Albemarle Road,,Brooklyn,NY,11218-2351,To support program to prevent the displacement of families through eviction and foreclosure. Evictions will be prevented through mediation with landlords and through the accessing of entitlements that assist with rental payments or freeze rents at current levels for a tenant. Homeowners will be assisted through mediation with lenders / servicers resulting in modifications and or refinancing.,,
LOCAL,Lander,"Brooklyn Housing and Family Services, Inc.",112412584,,3500,HPD,,415 Albemarle Road,,Brooklyn,NY,11218-2351,To provide services for homeowners and tenants who are at risk for eviction.,,
LOCAL,Williams,"Brooklyn Housing and Family Services, Inc.",112412584,,10000,HPD,,415 Albemarle Road,,Brooklyn,NY,11218-2351,Funds will be used to provide intervention in low and moderate priced multiple-dwellings identified as needing intervention,,
LOCAL,Speaker,"Brooklyn Housing and Family Services, Inc.",112412584,,50000,HPD,,415 Albemarle Road,,Brooklyn,NY,11218-2351,"To prevent displacement by eviction or foreclosure through  mediation with landlords and lenders or mortgage servicer's, assistance in accessing entitlements, relocation when necessary and other assistance.  ",,
LOCAL,Gentile,Brooklyn Institute of Arts and Sciences,111672743,,1000,DCLA,,200 Eastern Parkway,,Brooklyn,NY,11238,Funds will provide free museum attendance on certain days of the month.,"NIA Community Services Network, Inc.",112697931
LOCAL,Treyger ,"Brooklyn Kings County Hispanic Chamber Of Commerce, Inc.",202381186,,4000,DSBS,,2359 86th Street,2nd Floor,Brooklyn,NY,11214,Funds used to cover the costs associated with operating business incubator classes,,
LOCAL,Menchaca,"Brooklyn Kings County Hispanic Chamber Of Commerce, Inc.",202381186,,5000,DSBS,,2359 86th Street,2nd Floor,Brooklyn,NY,11214,Funds to staff two part time workers  and cover the cost of the business incubator classes. ,,
LOCAL,Cumbo,Brooklyn Legal Services Corporation A,132605599,,3500,HPD,,260 Broadway Suite 2,,Brooklyn,NY,11211,"Funds will be used to provide legal representation, brief advice/services, and legal education to vulnerable populations.",,
LOCAL,Levin,Brooklyn Legal Services Corporation A,132605599,,3500,DOE,,260 Broadway Suite 2,,Brooklyn,NY,11211,"To support the Make: School pilot program at PS 84, which will provide students with hands-on projects and integrate art into science, technology, engineering, and math studies.",,
LOCAL,Reynoso,Brooklyn Legal Services Corporation A,132605599,,5000,DOE,,260 Broadway,2nd floor,Brooklyn,NY,11211-6239,"To support Make: School at P.S. 84. Funds will support acquisition of materials and supplies, production of educational resources, staff development and collaboration, execution of project lessons, documentation and development of online resources.",,
LOCAL,Williams,Brooklyn Legal Services Corporation A,132605599,,3500,HPD,,260 Broadway Suite 2,,Brooklyn,NY,11211, Funding to support the Preserving Affordable Housing Program.,,
LOCAL,Speaker,Brooklyn Legal Services Corporation A,132605599,,255000,HPD,,260 Broadway Suite 2,,Brooklyn,NY,11211,Funds will be used to sustain and expand  widely acclaimed Group Representation Unit. The Unit’s staff provides critically needed legal support for a network of 15 full-time tenant organizers operating out of 6 community housing organizations.,,
LOCAL,Cumbo,Brooklyn Music School,116000202,,4100,DYCD,,126 Saint Felix Street,,Brooklyn,NY,11217,"Funds will be used to purchase equipment/instruments, hire Teaching Artists, and assure access to more low income children through financial aid.",,
LOCAL,Cumbo,Brooklyn Navy Yard Development Corporation,112137138,,4000,DYCD,,63 Flushing Avenue,Unit 300,Brooklyn,NY,11205,"Funds   to provide free and accessible exhibition, visitor and employment center.",,
LOCAL,Gentile,"Brooklyn On Fun Association USA, Inc.",455094879,,4000,DYCD,,5615 8TH AVE,,BROOKLYN,NY,11220,"Funds will pay operating cost, including office space rental, utility bills, office supplies, accounting fees, and payroll for staffs, and will pay for workshops that will benefit the community. ",,
YOUTH,Cornegy,"Brooklyn Pitbulls Youth Football, Inc.",770611633,*,2500,DYCD,,162 Albany Avenue Ste 2C,,Brooklyn,NY,11213,"To provide transportation, trophies, insurance, and football equipment for the Brooklyn Pitbulls Youth Football program",,
LOCAL,Dromm,"Brooklyn Pride, Inc.",113357221,,3500,DYCD,,PO Box 150508,,Brooklyn,NY,11215," Produce Kids Space program for children, youth and parents (both LGBTQ and allies) to combat bullying.",,
LOCAL,Lander,"Brooklyn Pride, Inc.",113357221,,5000,DYCD,,PO Box 150508,,Brooklyn,NY,11215,"To support programming, including annual 5k run, to educate the public and commemorate historical events in advancing civil rights for the LGBT community.",,
YOUTH,Menchaca,"Brooklyn Pride, Inc.",113357221,,3500,DYCD,,PO Box 150508,,Brooklyn,NY,11215,"Funding to produce annual events including the 5K Run, and the Kids Space which last year served several hundred children, youth and parents.",,
LOCAL,Constantinides,Brooklyn Queens Conservatory of Music,111532426,,3500,DCLA,,58 Seventh Avenue,,Brooklyn,NY,11217-3608,Funding will be used to support music instruction to local youth and seniors in Astoria.,,
LOCAL,Koo,Brooklyn Queens Conservatory of Music,111532426,,10000,DCLA,,58 Seventh Avenue,,Brooklyn,NY,11217-3608,"Funds would support the Music Partners Program for District 20 schools, including PS24Q and PS22Q, youth and senior centers. ",,
LOCAL,Gentile,Brooklyn Queens Conservatory of Music,111532426,,3500,DCLA,,58 Seventh Avenue,,Brooklyn,NY,11217-3608,"Funds will support the continuation of BQCM's outreach programs that provide music instruction, music therapy, and concerts throughout Brooklyn, Queens, and Manhattan. ",,
LOCAL,Levin,Brooklyn Queens Conservatory of Music,111532426,,3500,DCLA,,58 Seventh Avenue,,Brooklyn,NY,11217-3608,"To support the continuation and/or reinstatement of outreach programs which provide music instruction, music therapy and concerts in Brooklyn.",,
LOCAL,Lander,Brooklyn Queens Conservatory of Music,111532426,,3500,DCLA,,58 Seventh Avenue,,Brooklyn,NY,11217-3608,"To support music therapy programs and concerts, including the Music Partners Program and the Music Therapy Program.",,
LOCAL,Cornegy,Brooklyn Queens Land Trust,611441052,*,10000,DPR,,677 Lafayette Avenue,,Brooklyn,NY,11216,To provide garden improvements and supplies for BQLT gardens in the 36th Council District.,,
LOCAL,Cumbo,Brooklyn Queens Land Trust,611441052,*,5000,DPR,,677 Lafayette Avenue,,Brooklyn,NY,11216,"Funds to support community garden activities including rent and utilities, and support of our Fall Bike Tour and other events in its gardens.",,
LOCAL,Levin,Brooklyn Queens Land Trust,611441052,*,3500,DPR,,677 Lafayette Avenue,,Brooklyn,NY,11216,"To provide support for rent and utilities, and to support the Fall Bike Tour and other events
",,
LOCAL,Miller,Brooklyn Queens Land Trust,611441052,*,5000,DPR,,677 Lafayette Avenue,,Brooklyn,NY,11216,"BQLT will update the Merrick Marsden II garden. Work will include a new fence, landscaping, installing a gazebo for seating, garden tools and supplies.
BQLT requests general support for these activities including rent and utilities, and support of our Fall Bike Tour and other events in its gardens.
",,
LOCAL,Reynoso,Brooklyn Queens Land Trust,611441052,*,5000,DPR,,677 Lafayette Avenue,,Brooklyn,NY,11216,"To support programming and purchase of materials for four community gardens in Bushwick: Concerned Citizens of Grove St.; La Finca, Peoples Garden and Woodbine Garden.",,
LOCAL,Mealy,Brooklyn Queens Land Trust,611441052,*,10000,DPR,,677 Lafayette Avenue,,Brooklyn,NY,11216,"The funding will pay for the maintenance of the 5 Brooklyn Queens Land Trust gardens located in District 41, including general maintenance of the  Central Bainbridge garden; the repair of a sinkhole in the Garden of Angels on Greene Avenue; lumber and soil for garden beds at the Patchen Avenue Garden; fence repair, soil and garden supplies at the Ralph Lincoln garden, and general maintenance of the St. Johns Renaissance garden",,
LOCAL,Williams,Brooklyn Queens Land Trust,611441052,*,3500,DPR,,677 Lafayette Avenue,,Brooklyn,NY,11216,"Funds to start new community gardens. Services include finding available space,  organizing a neighborhood gardening group, planning the garden with community stakeholders.",,
LOCAL,Cornegy,"Brooklyn Rescue Mission Urban Harvest Center, Inc.",320019367,*,2500,DYCD,,255 Bainbridge Street,,Brooklyn,NY,11233-1901,"To fund stipends for youth working in the greenhouse, food pantry and farmers market.",,
LOCAL,Mealy,"Brooklyn Rescue Mission Urban Harvest Center, Inc.",320019367,*,7000,DYCD,,255 Bainbridge Street,,Brooklyn,NY,11233-1901,"The funds will support the Growing Success program, which provides stipends to youth interns for working in the greenhouse, food pantry, and farmers markets. The funding will also be used to purchase farm supplies, equipment, t-shirts, training equipment and tools. The funds will also support food justice events in District 41. ",,
LOCAL,Cumbo,"Brooklyn Steppers, Inc., The",271223035,,5000,DYCD,,PO Box 24415,,Brooklyn,NY,11202,"Funds will support general operating expenses of the Brooklyn Steppers, to purchase musical instruments for the marching band and for our annual community event.  ",,
YOUTH,Levin,"Brooklyn Steppers, Inc., The",271223035,,3500,DYCD,,PO Box 24415,,Brooklyn,NY,11202,To purchase musical instruments for the marching band.,,
YOUTH,Levin,Brooklyn Youth Chorus Academy,113129249,,7000,DYCD,,179 Pacific Street,,Brooklyn,NY,11201,To support and expand BYCA’s Choral Music Education and Performance Program and Financial Aid Initiative. ,,
YOUTH,Lander,Brooklyn Youth Chorus Academy,113129249,,3500,DYCD,,179 Pacific Street,,Brooklyn,NY,11201,To support music education programming for youth,,
LOCAL,Speaker,Brooklyn Youth Chorus Academy,113129249,,45000,DYCD,,179 Pacific Street,,Brooklyn,NY,11201,To support and expand BYCA’s Choral Music Education and Performance Program and Financial Aid Initiative. ,,
YOUTH,Levin,Brooklyn Youth Sports Club,271404772,,3500,DYCD,,9 Wyckoff St 1,,Brooklyn,NY,11201,"To support academic tutoring, homework help, SAT/ACT prep, Regent prep, Literacy and Math development, etc., scheduled in coordination with basketball activities.  ",,
LOCAL,Gentile,"BrooklynONE productions, Inc.",460692076,*,3500,DYCD,,1265 80th street,,Brooklyn,NY,11228,Funds will support regular scheduled events and the new outdoor Brooklyn Shakespeare Festival.,,
YOUTH,Dickens,"Brotherhood Sister Sol, Inc., The",133857387,,4000,DYCD,,512 West 143rd Street,,New York,,10031,"To support after school programming, Rites of Passage programs, youth organizing , leadership training, job training, community outreach and other programs for youth.",,
YOUTH,Levine,"Brotherhood Sister Sol, Inc., The",133857387,,12500,DYCD,,512 West 143rd Street,,New York,NY,10031,"Funding to support general operation of Environmental Program, youth and environmental staff will participate in multiple workshops to learn the business of farmers markets and fresh food production, including three Food Market Management trainings with Grow NYC, and a Farming  Distribution workshop with Corbin Hill Farms. ",,
LOCAL,Speaker,"Brotherhood Sister Sol, Inc., The",133857387,,120000,DYCD,,512 West 143rd Street,,New York,NY,10031,Funds will be used to support the operations of summer programming.,,
LOCAL,Mealy,"Brownsville Heritage House, Inc.",112552201,*,10000,DYCD,,581 Mother Gaston Boulevard,2nd Floor,Brooklyn,NY,11212-5920,"The funds will support the operating costs of the Brownsville Heritage House, including the costs of hosting free cultural programming for the community. This cultural programming includes free jazz performances, and free movie screenings. The funds will also help defray the costs of  health and employment workshops and tutoring assistance. The funds will also be used to pay a part-time employee, IT contractor, and volunteer stipends. The funds will pay for purchase of supplies and equipment associated with the Heritage House's cultural and educational programming",,
YOUTH,Reynoso,Bushwick Starr,264546315,,5000,DYCD,,207 Starr Street,41672,Brooklyn,NY,"11237
-2632","To support the Big Green Theater (BGT) annual eco-playwriting program and green theater festival celebrating environmental education, sustainability in the arts, and community enrichment.",,
LOCAL,Ferreras,"Business Outreach Center Network, Inc.",113306111,,18000,DSBS,,85 South Oxford Street,,Brooklyn,NY,11217,"To support business workshops, one-on-one counseling, access to finance, and BOC Networks Child Care Business Development Project. The project will help lower income women gain financial literacy, marketing, management, and childhood development skills. Funds would be used to offer an expanded 60-hour training with Healthy Choices training, one-on-one technical assistance, free legal assistance. Training topics include: business planning, marketing, finance, taxes, recordkeeping, operations, early childhood development and nutrition.",,
LOCAL,Richards,"Business Outreach Center Network, Inc.",113306111,,15000,DSBS,,85 South Oxford Street,,Brooklyn,NY,11217,"To support BOC Network’s Child Care Business Development Project which responds to a demonstrated need for comprehensive services to home-based child care providers for professional business, legal and accounting assistance to constituents of District 31.",,
LOCAL,Reynoso,"Business Outreach Center Network, Inc.",113306111,,7500,DSBS,,85 South Oxford Street,,Brooklyn,NY,11217,"To support a training program for minority, immigrant, and lower-income women entrepreneurs.",,
LOCAL,CD28,"Business Outreach Center Network, Inc.",113306111,,8000,DSBS,,85 South Oxford Street,,Brooklyn,NY,11217,"Funds would be used to offer an expanded 60-hour training with Healthy Choices training, one-on-one technical assistance, free legal assistance, career path counseling, access to financing, networking, and child care skills mentoring.!
  Training topics include: business planning, marketing, finance, taxes, recordkeeping, operations, early childhood development and nutrition.",,
LOCAL,Weprin,"Business Outreach Center Network, Inc.",113306111,,5000,DSBS,,85 South Oxford Street,,Brooklyn,NY,11217,"To support training programs for minority and immigrant women starting child care business with technical assistance, legal assistance, career counseling and mentoring.  ",,
LOCAL,Levine,"Buyers And Renters United To Save Harlem, Inc.",205377268,,3500,DYCD,,706 Riverside Drive Suite 7E,,New York,NY,10031,"Funding to continue educational, research and outreach efforts in Council District 7 to provide tenants and the larger community with effective ways to bring greater economic and social justice in the area of housing. Funding will be support a series of seminars and will cover the cost of renting space, producing and distributing flyers, and for stipends to volunteers and speakers.",,
AGING,Miller,"C.W. Mixon Senior Outreach Center, Inc.",562625535,,9000,DFTA,,112-50 Springfield Blvd,,Queens Village,NY,11429,"Funding to provide prepared meals, planned activities, organized excursions and other forms of enrichment to members of the senior citizen program.",,
LOCAL,Chin,Cabrini Immigrant Services of NYC,455258656,,5000,DFTA,,139 Henry Street,,New York,NY,10002,"To support free ESOL, technology, and cultural literacy classes for adults. Funds will support purchase of laptops and salary of instructor.  As well as a theatre trip  for ESOL students which includes lesson plans to facilitate instruction.",,
YOUTH,Maisel,"Cadets Baseball Club, Inc.",112668901,*,2000,DYCD,,1929 Gerritsen Avenue,,Brooklyn,NY,11229,"To support a youth baseball program for those who are interested in participating in a high level of baseball, and provide academic/athletic scholarships to participants.",Bergen Basin Community Development Corp dba Millennium Develeopment,113199040
AGING,CD28,"CALBC Housing Development Fund Co., Inc. (d/b/a - Calvary Baptist Church Senior Housing)",133173604,,5000,DFTA,,160-60 CLAUDE AVENUE,MANAGEMENT OFFICE,JAMAICA,NY,11433-3832,To support recreational and cultural activities for seniors and to purchase general supplies for various activities.,,
