Source,Council Member,Legal Name of Organization,EIN,*,Amount ($,Agency,Program Name,Address,Address 2 (optional,City,State,Zip Code,Purpose of Funds,Fiscal Conduit Name,FC EIN
Local,Eugene,"Brooklyn Congregations United, Inc.",611567317,,"$5,000",DYCD,,890 Flatbush Avenue,,Brooklyn,NY,11226,"To provide leadership and development training in communities to teach organizing, train leaders in the community, and create effective local organiziang committees to support neighborhood improvement.",,
Aging,CD19,Brooklyn Conservatory of Music,111532426,,$0,DFTA,,58 7th Ave,,Brooklyn,NY,11217,"To support music instruction, music therapy and concerts throughout Brooklyn, Queens and Manhattan. Programming includes band, strings, chorus, recorder, world drumming and percussion, early childhood music and movement, and a weekly seniors’ chorale program.",,
Local,Koo,Brooklyn Conservatory of Music,111532426,,"$10,000",DCLA,,58 7th Ave,,Brooklyn,NY,11217,"Funds would support the continuation, reinstatement, expansion or new pilots of BQCM’s outreach programs which provide music instruction, music therapy and concerts throughout Brooklyn, Queens and Manhattan.",,
Local,Vallone,Brooklyn Conservatory of Music,111532426,,"$3,000",DCLA,,58 7th Ave,,Brooklyn,NY,11217,"Funds would support the continuation, reinstatement, expansion or new pilots of BQCM’s outreach programs which provide music instruction, music therapy and concerts throughout Brooklyn, Queens and Manhattan, including to students, seniors and people with special needs.",,
Local,Levin,Brooklyn Conservatory of Music,111532426,,"$3,500",DCLA,,58 7th Ave,,Brooklyn,NY,11217,"To support the continuation, reinstatement, expansion or new pilots of BQCM’s outreach programs which provide music instruction, music therapy and concerts throughout Brooklyn, Queens and Manhattan.",,
Local,Lander,Brooklyn Conservatory of Music,111532426,,"$3,500",DCLA,,58 7th Ave,,Brooklyn,,11217,"To support music therapy programs and concerts, including the Music Partners Program and the Music Therapy Program.",,
Local,Levin,Brooklyn Defender Services,113305406,,"$3,500",DYCD,,177 Livingston Street,,Brooklyn,NY,11201,"To support the Immigrant Justice Initiative, through funding for an immigration staff attorney and a paralegal.",,
Local,Eugene,Brooklyn Defender Services,113305406,,"$4,000",DYCD,,177 Livingston Street,,Brooklyn,NY,11201,"To support the Immigrant Justice Initiative, providing representation to individuals on immigration issues and to provide funds toward the salary and finge benefits of an immigration attorney and paralegal. ",,
Youth,Lander,Brooklyn Defender Services,113305406,,$0,DYCD,,177 Livingston Street,,Brooklyn,NY,11201,"To support a Youth and Family Justice Initiative.  Funding will pay for social worker and investigator positions and education, advocacy and outreach.",,
Youth,Williams,Brooklyn Defender Services,113305406,,"$8,000",DYCD,,177 Livingston Street,,Brooklyn,NY,11201,"To support the Youth and Family Justice Initiative, education and outreach, and in particular to provide for the hiring of a social worker, community liaison and investigator positions.",,
Local,James,Brooklyn Defender Services,113305406,,"$5,000",DYCD,,177 Livingston Street,,Brooklyn,NY,11201,"To support the Youth and Family Justice Initiative, and in particular to provide for the hiring of a social worker, community liaison and investigator positions. Also for  education and outreach.  ",,
Local,CC,Brooklyn Defender Services,113305406,,"$50,000 ",DYCD,,177 Livingston Street,,Brooklyn,NY,11201,"Funds for the Youth and Family Justice Initiative which provides criminal defense, family defense, and cutting-edge policy advocacy for youth impacted by the criminal justice and family law systems. Funding will go toward our hiring of social work, education advocacy, policy advocacy and investigator positions. Funding will also go toward a community liaison to coordinate our Know Your Rights and other outreach with community-based agencies, elected officials, churches and community members for our Strengthening Communities/Strengthening Families project.",,
Local,Reyna,Brooklyn Economic Development Corporation,112510289,,"$11,000",DSBS,,2001 Orirental Boulevard,T-4162,Brooklyn,NY,11235-2333,Funds will support assistance to women and minority enterprises with certification for NYC contracting and technical assistance.,,
MWBE Leadership Association,,Brooklyn Economic Development Corporation,112510289,,"$60,925",DSBS,,,,,,,Funding will provide for a range of services including guidance on government contracting for potential or City-certified MWBEs; assistance in connecting MWBEs to potential customers; aid in the development of bids and proposals; assistance in securing project financing and bonding; and the promotion and marketing of the City’s MWBE program.,,
Local,Gonzalez,Brooklyn Community Improvement Association Inc.,412240834,*,"$10,000",DYCD,,720 57th StreetCellar floor,,Brooklyn,,11220,"To support an Immigrant Service Program (ISP) to provide Asian immigrant families with translation services, legal assistance, promoting dialogue with law enforcement and local organizations, encouraging civic participation and other services.  
Funds will support administrative expenses, and other program related costs.",,
Youth,Gentile,"Brooklyn Extreme Flag Football, Inc.",260789598,,"$3,500",DYCD,,1065 60th Street,,Brooklyn,NY,11219,"To support a flag football program for youth, teaching the rules of the game, discipline and character and sporstmanship.  Funds will support equipment and other program costs, and to allow underprivileged children to participate for free or for a significantly discounted fee.",,
Local,Eugene,"Brooklyn Film Society, Inc.",271893622,,"$8,000",DYCD,,180 South 4 Street,Suite 2 s,Brooklyn,NY,11211-5329,"To support ""Brooklyn Film Pride"",  a two day film event that showcases the films of Brooklyn filmmakers.    ",,
Local,Levin,"Brooklyn Greenway Initiative, Inc.",203283721,,"$3,500",DYCD,,153 Columbia Street,,Brooklyn,NY,11231,To support the Brooklyn Greenway Initiatives on the Brooklyn Waterfront Greenway.,,
Local,Gonzalez,"Brooklyn Greenway Initiative, Inc.",203283721,,"$5,000",DYCD,,153 Columbia Street,,Brooklyn,,11231,"To plan and improve the Brooklyn Waterfront Greenway.  Programming/services will include project coordination; design of open spaces; development of green infrastructure; public workshops; and membership, maintenance and stewardship programs.",,
Local,Lander,"Brooklyn Greenway Initiative, Inc.",203283721,,"$3,500",DYCD,,153 Columbia Street,,Brooklyn,,11231,"To support programming and services for the Brooklyn Waterfront Greenway, including personnel expenses.",,
Local,Reyna,"Brooklyn Greenway Initiative, Inc.",203283721,,"$3,500",DYCD,,153 Columbia Street,,Brooklyn,NY,11231,Funds will be used for planning and stewarding the Brooklyn Waterfront Greenway including design and public workshops.,,
Local,Levin,Brooklyn Heights Association Inc.,111504005,,"$3,500",DPR,,55 Pierrepont Street,Box 17D,Brooklyn,NY,11201,"To support the work of the Promenade Garden Conservancy. Funds will be used to help underwrite the gardener’s compensation, to purchase plant material, and to develop print and on-line materials.",,
Local,Gentile,Brooklyn Historical Society,111630813,,"$1,000",DOE,,128 Pierrepont Street,,Brooklyn,NY,11201,"To support school group tours, to offer students the opportunity to learn about their local history.",,
Local,Nelson,Brooklyn Historical Society,111630813,,"$10,000",DCLA,,128 Pierrepont Street,,Brooklyn,NY,11201,"To create an interactive website, organize public programs, record and archive oral histories, and make a range of resources available to the public. Funds will help cover a website consultant, and support efforts in social medial to drive people to the website. Funding will also help the Brooklyn Jewish Historical Initiative project in community outreach through oral histories and public programs.",,
Youth,James,Brooklyn Historical Society,111630813,,"$3,500",DYCD,,128 Pierrepont Street,,Brooklyn,NY,11201,"To provide funding for the Crossing Borders, Bridging Generations online curriculum which will includes lesson plans and teaching guides designed for use by K-12 teachers to engage young audiences both in the classroom and after school.",,
Local,Mealy,Brooklyn Historical Society,111630813,,"$4,000",DCLA,,128 Pierrepont Street,,Brooklyn,NY,11201,"To provide for an online curriculum that includes lesson plans and teaching guides for the classroom and afterschool programs to accompany the Crossing Borders, Bridging Generations oral history project.  ",,
Local,Greenfield,Brooklyn Historical Society,111630813,,"$3,500",DCLA,,128 Pierrepont Street,,Brooklyn,NY,11201,"Funds used to underwrite school group tours, allowing the Historical Society to serve students and teachers without the means to pay fees for school field trips. BHS’s school tours expose students to a range of experiences involving exposure to and learning from unique and rare historic documents, manuscripts, maps, historical and contemporary photographs, paintings, oral histories, prints and drawings. Widely recognized for the exemplary use of primary source materials to promote learning standards, our education programs have been instrumental in establishing BHS’s outstanding reputation as a cultural leader in New York City. Students in kindergarten through high school have taken advantage of the opportunity to tour and learn about their local history at BHS.",,
Local,Vann,Brooklyn Historical Society,111630813,,"$5,000",DYCD,,128 Pierrepont Street,,Brooklyn,NY,11201," To provide for an online curriculum concerning mixed-heritage families, race, ethnicity, and culture.",,
Youth,Lander,Brooklyn Historical Society,111630813,,"$3,500",DYCD,,128 Pierrepont Street,,Brooklyn,NY,11201,"To support creation of online cirricula for the Crossing Borders, Bridging Generations oral history project for use by K-12 teachers to use with students. ",,
Local,Levin,"Brooklyn Historical Society, The",111630813,,"$3,500",DCLA,,128 Pierrepont Street,,Brooklyn,NY,11201,To support school group tours at the Historical Society.,,
Boro,Brooklyn Delegation,"Brooklyn Housing and Family Services, Inc.",112412584,,"$5,625",HPD,,415 Albemarle Road Brooklyn NY 11218,415 Albemarle Road,Brooklyn,NY,11218-2351,Funding will be used to assist families facing eviction and foreclosure. ,,
Local,Greenfield,"Brooklyn Housing and Family Services, Inc.",112412584,,"$7,500",HPD,,415 Albemarle Road Brooklyn NY 11218,415 Albemarle Road,Brooklyn,NY,11218-2351,"To support program to prevent the displacement of families through eviction and foreclosure. Evictions will be prevented through mediation with landlords and through the accessing of entitlements that assist with rental payments or freeze rents at current levels for a tenant. Homeowners will be assisted through mediation with lenders/servicers resulting in modifications and or refinancing, reduction of principal and the extension of time available to bring a mortgage current. Tenants and homeowners for whom eviction or foreclosure could not be prevented will be assisted in relocating to housing as near as possible to their current residence so that the family support systems and social and educational services remain accessible.",,
Local,James,"Brooklyn Housing and Family Services, Inc.",112412584,,"$5,000",HPD,,415 Albemarle Road Brooklyn NY 11218,415 Albemarle Road,Brooklyn,NY,11218,To provide for mediation support and access to entitlements to prevent the displacement of families through eviction and foreclosure. ,,
Local,Lander,"Brooklyn Housing and Family Services, Inc.",112412584,,"$3,500",HPD,,415 Albemarle Road Brooklyn NY 11218,415 Albemarle Road,Brooklyn,,11218-2351,To provide services for homeowners and tenants who are at risk for eviction.,,
Local,Eugene,"Brooklyn Housing and Family Services, Inc.",112412584,,"$10,000",HPD,,415 Albemarle Road,,Brooklyn,NY,11218-2351,"To prevent displacement by eviction or foreclosure through  mediation with landlords and lenders or mortgage sericers, assistance in accessing entitlements, relocation when necessary and other assistance.  ",,
Local,Williams,"Brooklyn Housing and Family Services, Inc.",112412584,,"$7,000",HPD,,415 Albemarle Road Brooklyn NY 11218,415 Albemarle Road,Brooklyn,NY,11218-2351,To provide for mediation support and access to entitlements to prevent the displacement of families through eviction and foreclosure. ,,
Local,Recchia,"Brooklyn Housing and Family Services, Inc.",112412584,,"$4,000",HPD,,415 Albemarle Road,,Brooklyn,NY,11218,To provide services for homeowners and tenants who are at risk for eviction.,,
Local,Dilan,"Brooklyn Housing and Family Services, Inc.",112412584,,"$10,000",HPD,,415 Albemarle Road Brooklyn NY 11218,,Brooklyn,NY,11218-2351,"Funding will be used to prevent the displacement of families through eviction and foreclosure, and, where necessary, to help families transition to other affordable housing.",,
Community Consultant Contracts,,"Brooklyn Housing and Family Services, Inc.",112412584,,"$10,117",HPD,,415 Albemarle Road ,,Brooklyn,NY,11218-2351,The Community Consultant program allows neighborhood-based groups to provide the following services: tenant organization; code enforcement advocacy; housing court assistance; apartment repossession; and other housing-related public education.    ,,
Local,Recchia,"Brooklyn Italian Youth Soccer Club, Inc.",113563329,*,"$5,000",DYCD,,5725 18th Avenue,,Brooklyn,NY,11204,,,
Local,Reyna,"Brooklyn Kings County Hispanic Chamber Of Commerce, Inc.",202381186,,"$5,000",DSBS,,2359 86th Street,2nd Floor,Brooklyn,NY,11214,"Funding will help pay for two part time staff and the payroll tax associated with those two positions. These two part time staff members will than assist and participate in the execution of the programs that we set forth to deliver to the Bushwick, Sunset Park and Bensonhurst business community.",,
Local,Recchia,"Brooklyn Kings County Hispanic Chamber Of Commerce, Inc.",202381186,,"$4,000",DSBS,,2359 86th Street,2nd Floor,Brooklyn,NY,11214,"Funding will help pay for two part time staff and the payroll tax associated with those two positions. These two part time staff members will than assist and participate in the execution of the programs that we set forth to deliver to the Bushwick, Sunset Park and Bensonhurst business community.",,
Local,Gonzalez,"Brooklyn Kings County Hispanic Chamber of Commerce, Inc.",202381186,,"$7,000",DSBS,,2359 86th Street,2nd Floor,Brooklyn,,11214,"Funding will help pay for two part time staff and the payroll tax associated with those two positions. These two part time staff members will than assist and participate in the execution of the programs that we set forth to deliver to the Bushwick, Sunset Park and Bensonhurst business community.",,
Boro,Brooklyn Delegation,Brooklyn Legal Services Corporation A,132605599,,"$16,875",HPD,,260 Broadway Suite 2,,Brooklyn,NY,11211,"Funding will support Brooklyn A's Preserving Affordable Housing Program, including group and individual legal assistance, and the Consumer and Economic Advocacy Program, which specializes in foreclosure prevention.  In particular, funds will support staff, salary, and program-related expenses.",,
Local,Williams,Brooklyn Legal Services Corporation A,132605599,,$0,HPD,,260 Broadway Suite 2,,Brooklyn,NY,11211,"To support the Preserving Affordable Housing and Economic Advocacy programs, to address lack of decent housing, affordable housing, housing discrimination and foreclosre prevention.   ",,
Local,CC,Brooklyn Legal Services Corporation A,132605599,,"$80,000 ",DHS,,260 Broadway Suite 2,,Brooklyn,NY,11211,Emergency Assistance for homeless families and those at risk of homelessness.  ,,
Local,CC,Brooklyn Legal Services Corporation A,132605599,,"$175,000 ",HPD,,260 Broadway Suite 2,,Brooklyn,NY,11211,"Funds will be used to sustain and expand its widely acclaimed Group Representation Unit. The Unit’s staff provides critically needed legal support for a network of 15 full-time tenant organizers operating out of 6 community housing organizations. With increased resources we will be able to effect change in the communities we serve, drastically decreasing discriminatory housing practices and preserving as many affordable units as possible to ensure the continuing availability of this housing for low income individuals and families.",,
Anti Eviction,,Brooklyn Legal Services Corporation A,132605599,,"$83,074",HPD,,260 Broadway Suite 2,,Brooklyn,NY,11211,Legal services and advocacy ,,
Youth,James,Brooklyn Music School,116000202,,"$4,214",DYCD,,126 Saint Felix Street,,Brooklyn,NY,11205,To provide for the after-school and outreach programs and workshops for underserved youth.,,
Youth,Lander,Brooklyn Historical Society,111630813,,"$2,000",DYCD,,63 FLUSHING AVENUE,UNIT 300,BROOKLYN,NY,11205,To support exhibits and programs for youth at BLDG 92.,,
Youth,James,Brooklyn Historical Society,111630813,,"$3,500",DYCD,,63 FLUSHING AVENUE,UNIT 300,BROOKLYN,NY,11205,"To provide for exhibits and programs that are free and accessible to local residents at the Brooklyn Navy Yard's Center's, BLDG 92.",,
Local,Gentile,Brooklyn Historical Society,111630813,,"$2,500",DYCD,,63 FLUSHING AVENUE,UNIT 300,BROOKLYN,NY,11205,To support free ad accessible public exhibits and programming at BLDG 92.,,
Local,Levin,Brooklyn Historical Society,111630813,,"$3,500",DYCD,,63 FLUSHING AVENUE,UNIT 300,BROOKLYN,NY,11205,To support exhibits and programs at the Brooklyn Navy Yard BLDG 92.  ,,
Local,Mealy,"Brooklyn Neighborhood Improvement Association, Inc.",112538550,,"$3,500",HPD,,1482 ST JOHNS PLACE ROOM 1C,,BROOKLYN,NY,11213-3913,To support a post-purchase/foreclosure intervention program to assist homeowners at risk of foreclosure. ,,
Local,James,Brooklyn Perinatal Network Inc,133428222,,"$3,500",DOHMH,,76 Nevins Street,,Brooklyn,NY,11217,"To provide for community workshops and one on one education to promote womens' health in high risk, high need communities.",,
Infant Mortality Reduction,,Brooklyn Perinatal Network Inc,133428222,,"$126,660",DOHMH,,76 Nevins Street,,Brooklyn,NY,11217,,,
Youth,Lander,"Brooklyn Philharmonic Orchestra, Inc",111773636,,"$3,500",DYCD,,20 Jay Street,Suite M-16,Brooklyn,NY,11201,To support afterschool music education programs for youth grades K-12 in public schools.,,
Local,Fidler,"Brooklyn Philharmonic Symphony Orchestra, Inc.",111773636,,"$21,375",DCLA,,20 Jay Street,Suite M-16,Brooklyn,,11201,"To support the Brooklyn Philharmonic's Early Childhood Strings programs, continue the CASA program at PS 194, and expand the Early Childhood Strings program to other grades as well as expanding the Early Strings program to other schools.",,
Local,Levin,"Brooklyn Philharmonic Symphony Orchestra, Inc.",111773636,,"$3,500",DCLA,,20 Jay Street,Suite M-16,Brooklyn,NY,11201,To provide music education in public schools as part of the SCORES program. Funding will provide public school students in Council District 33 the opportunity to attend the SCORES Program and the additional opportunity for student exposure to music.,,
Local,Greenfield,"Brooklyn Philharmonic Symphony Orchestra, Inc.",111773636,,"$3,500",DCLA,,20 Jay Street,Suite M-16,Brooklyn,NY,11201,"Funds used to support a full-day event, for student ensembles of varied instrumentations, compete in five different categories for prizes. Prior to festival, professional musicians visit participating schools for an in-depth master class with students. Schools from all over Brooklyn participate in this competition for recognition. Last school year, 2012-2013, over 40 ensembles from Brooklyn schools participated. Funding will be used to expand the Festival and for additional participants to join the competition, and cover musicians fees and travel costs to participating schools",,
Local,Williams,"Brooklyn Philharmonic Symphony Orchestra, Inc.",111773636,,"$3,500",DCLA,,20 Jay Street,Suite M-16,Brooklyn,NY,11201,"To support the Outside In Program, which provides opportunities for young artists to bring performances to Flatbush. ",,
Youth,James,"Brooklyn Philharmonic Symphony Orchestra, Inc.",111773636,,"$3,500",DYCD,,20 Jay Street,Suite M-16,Brooklyn,NY,11201,To provide for free access for students and families in Title 1 schools and economically underserved communities for the School Time Brooklyn Philharmonic concerts.,,
HIV/AIDS Faith Based Initiative,,Brooklyn Plaza Medical Center,112467268,,"$6,400",DOHMH,,,,,,,,,
Local,James,"Brooklyn Pride, Inc.",113357221,,$0,DYCD,,PO Box 150508,,Brooklyn,NY,11215,"To provide for the organization and production of Brooklyn Pride Week events, which includes: a 5K run in Prospect Park, flag raising ceremony, street festival, kids space, parade and cultural evening, and to support other events throughout the year, including a film series. ",,
Local,Lander,"Brooklyn Pride, Inc.",113357221,*,"$3,500",DYCD,,PO Box 150508,,Brooklyn,,11215,"To support cultural and other programming, including Brooklyn Pride Week, to educate the public and commemorate historical events in advancing civil rights for the LGBT community.",,
BPL Subsidy Restoration,,Brooklyn Public Library,136400434,,"$3,556,000",BPL,,,,,,,,,
Local,Greenfield,Brooklyn Public Library - Midwood Branch,136400434,,"$7,500",BPL,,,,,,,"Funds will help with purchase of supplies, books, and event expenses.
",,
Local,Vann,Brooklyn Queens Land Trust,611441052,,"$7,000",DPR,,677 Lafayette Avenue,,Brooklyn,NY,11216,"To provide for basic services for the community garden, including clean water, soil, lumber, building planting beds, tools and supplies, seeds and plants, tree pruning and repair of infrastructure.  In addition to fund educational workshops, cultural and art programs.",,
Local,Mealy,Brooklyn Queens Land Trust,611441052,,"$5,000",DPR,,677 Lafayette Avenue,,Brooklyn,NY,11216,"To provide for general maintenance of the gardens, including water services, clean soil, lumber to build planting beds, seeds, plants, tree pruning, pest infestations, and repair fences and sidewalks. ",,
Local,Levin,Brooklyn Queens Land Trust,611441052,,"$3,500",DPR,,677 Lafayette Avenue,,Brooklyn,NY,11216,"To support three gardens in District 33.  Funds will be used for general maintenance including water services, clean soil, lumber to build planting beds, tools and supplies, seeds and plants, tree pruning and repair of any infrastructure.",,
Local,Reyna,Brooklyn Queens Land Trust,611441052,,"$7,500",DPR,,677 Lafayette Avenue,,Brooklyn,NY,11216,"Funds will support four community gardens in the District: La Finca, Peoples Garden, Woodbine Block Association Garden and Concerned Citizens of Grove St Garden.",,
Local,Williams,Brooklyn Queens Land Trust,611441052,,"$3,500",DPR,,677 Lafayette Avenue,,Brooklyn,NY,11216,"To provide funding for a community of gardeners that will work with stakeholders in the 45th Council District to recruit garden members, provide education  in urban farming, horticulture, and to maintain and establish gardens.    ",,
Youth,James,"Brooklyn Steppers, Inc., The",271223035,,"$4,000",DYCD,,1700 Fulton Street,,Brooklyn,NY,11213-1299,"To provide support general operating expenses for the Music Creation Project, an annual Battle of the Drumlines community event, musical instruments, and after-school music instruction.",,
Youth,Mealy,"Brooklyn Steppers, Inc., The",271223035,,"$3,500",DYCD,,1700 Fulton Street,,Brooklyn,NY,11213-1299,To provide support for general operating expenses and purchase musical instruments for the Brooklyn Steppers' Music Creation Project (MCP) and the annual Battle of the Drumlines event. ,,
Youth,Levin,"Brooklyn Steppers, Inc., The",271223035,,"$3,500",DYCD,,1700 Fulton Street,,Brooklyn,NY,11213-1299,"To support the Brooklyn Steppers, including the Brooklyn Steppers Music Creation Project (MCP) and an annual community event, the Battle of the Drumlines, and for the purchase of musical instruments for the marching band.  ",,
Youth,Levin,Brooklyn Youth Chorus Academy,113129249,,"$7,000",DYCD,,179 Pacific Street,,Brooklyn,NY,11201,To support and expand BYCA’s Choral Music Education and Performance Program and Financial Aid Initiative. ,,
Youth,James,Brooklyn Youth Sports Club,271404772,,"$3,500",DYCD,,9 Wyckoff St Suite 1,,Brooklyn,NY,11201,"To support the Brooklyn Badgers and Beyond Basketball sports and education programs through funding for tutor salaries, coaches salaries, classroom/gym space.",,
Youth,Levin,Brooklyn Youth Sports Club,271404772,,"$3,500",DYCD,,9 Wyckoff St Suite 1,,Brooklyn,NY,11201,"Funds will be used to cover costs of tutor salaries, coaches’ salaries, classroom/gym space, etc.",,
Aging,Wills,Brooks Memorial United Methodist Church,111832868,,"$10,000",DFTA,,143 - 22 109 Avenue,,Jamaica,NY,11435,"To feed hungry individuals and families in the community, particularly during the holiday season.",,
Youth,Wills,Brooks Memorial United Methodist Church,111832868,,"$10,000",DYCD,,143 - 22 109 Avenue,,Jamaica,NY,11435,"To feed needy individuals and families within the community, particularly during the holiday season.",,
Youth,Dickens,"Brotherhood/Sister Sol, The",133857387,,"$4,000",DYCD,,512 West 143rd Street,,New York,,10031,"To support after school programming, Rites of Passage programs, youth organizing , leadership training, job training, community outreach and other programs for youth.",,
Local,Jackson,"Brotherhood/Sister Sol, The",133857387,,"$5,000",DYCD,,512 West 143rd Street,,New York,NY,10031,"Funds will support youth programs including after-school programs, Rites of Passage programs, youth organizing, leadership and job training and community outreach.",,
Boro,Manhattan Delegation,"BrotherhoodSister Sol Inc., The",133857387,,"$3,500",DYCD,,512 West 143rd Street,,New York,NY,10031,"Funds will be used to support the operational costs of the daily after school programming, Rites of Passage programs, youth organizing, leadership training, job training, and community outreach.",,
Local,CC,"BrotherhoodSister Sol Inc., The",133857387,,"$120,000 ",DYCD,,512 West 143rd Street,,New York,NY,10031,Funds will be used to support the operations of summer programming.,,
Local,Rose,"Brothers Care, Inc.",261422585,,"$10,000",DYCD,,215 TRANTOR PLACE 3A,,STATEN ISLAND,NY,10302,"To promote community pride, social awareness and education through the West Brighton Harmony Day Event and Christmas toy give away.",,
Local,Recchia,"Brothers Care, Inc.",261422585,,"$4,000",DYCD,,215 TRANTOR PLACE 3A,,STATEN ISLAND,NY,10302,"To promote community pride, social awareness and education through the West Brighton Harmony Day Event and Christmas toy give away.",,
HIV/AIDS Faith Based Initiative,,Brown Memorial Baptist Church,111962041,,"$6,400",DOHMH,,,,,,,,,
Local,Vann,"Brownstoners of Bedford-Stuyvesant, Inc.",383657065,,"$10,000",DYCD,,PO Box 330 009,,Brooklyn,NY,11233-0009,To promote and advance the Literacy Campaign. ,,
Local,Dilan,"Bushwick Community Action Association, Inc",116083637,,"$5,000",DYCD,,Rev Matthew Rae,272 Moffat Street,Brooklyn,NY,11207,"The funds will support recreational, educational and youth activities including taking children in the program on educational excursions/trips, purchase of t-shirts and sweat shirts, supplies and outdoor equipment, pay admission fees and provide buses for trips.",,
Local,Reyna,Bushwick Housing Independence Project (BHIP),201518304,,"$15,000",HPD,,144 Bleecker Street,,Brooklyn,NY,11221,"Funds will support tenant services including education, organizing and assistance to tenants in at-risk buildings.",,
Youth,Levin,"Bushwick Starr Inc., The",264546315,,"$3,500",DYCD,,207 Starr Street 2-2,,Brooklyn,NY,11237-2632,"To support an annual eco-playwriting program and green theater festival celebrating environmental education, sustainability in the arts, and community enrichment. This is an after-school program run from January through March. ",,
Local,Reyna,"Bushwick Starr Inc., The ",264546315,,"$5,000",DYCD,,207 Starr Street 2-2,,Brooklyn,NY,11237-2632,Funds will support the Big Green Theater program and green theater festival which provides an afterschool play writing workshops for students at PS 123 and and works with students to produce and perform the plays.,,
Discretionary Child Care ,Dilan ,Bushwick United Housing Fund Corp. ,112504368,,"$50,000",ACS,Bushwick United Housing Fund Corp. 1,136 Stanhope Street ,,,NY,,"This allocation restores funding for 4,019 contracted child care slots and 900 family child care slots (pro-rated for 9 months.) ",,
Local,Richards,"Business Outreach Center Network, Inc.",113306111,,"$15,000",DSBS,,85 South Oxford Street,,Brooklyn,NY,11217,"To support the Child Care Business Development Project which provides comprehensive services to home-based child care providers for professional business, legal and accounting assistance. Funds would be used to continue to offer bilingual customized 55-hour training, one-on-one technical assistance, free legal assistance, career path counseling, access to grants and loans, networking, and child care skills mentoring.",,
Local,Weprin,"Business Outreach Center Network, Inc.",113306111,,"$5,000",DSBS,,85 South Oxford Street,,Brooklyn,NY,11217,"To continue to offer bilingual customized 55-hour training, one-on-one technical assistance, free legal assistance, career path counseling, access to grants and loans, networking, and child care skills mentoring.",,
Local,Ferreras,"Business Outreach Center Network, Inc.",113306111,,"$15,000",DSBS,,85 South Oxford Street,,Brooklyn,NY,11217,"To support the Child Care Business Development Project which provides home-based child care providers with training, technical assistance, free legal assistance, career path counseling, access to grants and loans, networking, and child care skills mentoring. BOC will also provide assistance and support with merchant organizing along Roosevelt Ave. ",,
Small Business and Job Development/Financial Literacy,,"Business Outreach Center Network, Inc.",113306111,,"$106,750",DSBS,,,,,,,"Funding will provide technical and financial assistance, business counseling and financial literacy education to entrepreneurs and small businesses.",,
Aging,James,"BWICA Educational Fund, Inc.",113220104,,"$3,500",DFTA,,,,,,," To provide presentations concerning social services at a monthly meeting at Brooklyn Borough Hall.  Topics include: Medicare, Medicaid, nutition, foreclosure prevention, and economic security.",,
Aging,Gentile,"BWICA Educational Fund, Inc.",113220104,,"$1,000",DFTA,,5901 13th Avenue,,Brooklyn,NY,11219,"To provide education and information to seniors and families on Social Security, Medicare, Medicaid, Transportation,  Nutrition, Economic Security, Banking, Foreclosure Prevention, Housing Senior serivces, and other subjects of interest presented at a monthly meeting in Brooklyn Borough Hall, open to the public.",,
Aging,Comrie,"C.W. Mixon Senior Outreach Center, Inc.",562625535,,"$9,000",DFTA,,112-50 Springfield Blvd,,Queens Village,NY,11429,"To provide prepared meals, planned activities, organized excursions and other forms of enrichment to members of the senior citizen program.",,
Youth,Fidler,"Cadets Baseball Club, Inc.",112668901,*,"$2,000",DYCD,,1929 Gerristen Avenue,,Brooklyn,,11229,"To support a youth baseball program for those who are interested in participating in a high level of baseball, and provide academic athletic scholarships to participants.",Bergen Basin Community Development Corp dba Millennium Development,113199040
Local,Levin,"Cadman Park Conservancy, Inc.",452063716,,"$3,500",DPR,,101 CLARK STREET APT 7D,,Brooklyn,NY,11201,"To support Cadman Park Conservancy's park improvements, community activities and programming, and for the restoration and renovation of the Brooklyn war memorial.",,
Aging,Wills,"CALBC Housing Development Fund Co., Inc. (d/b/a - Calvary Baptist Church Senior Housing)",133173604,,"$5,000",DFTA,,160-60 CLAUDE AVENUE,MANAGEMENT OFFICE,JAMAICA,NY,11433-3832,"To support the senior activities and programming including arts & crafts, ceramic, Zumba, BINGO sessions, and outings.",,
Callen Lorde Community Health Center,,Callen Lorde Community Health Center,133409680,,"$350,000",DOHMH,,,,,,,,,
Aging,Wills,Calvary Baptist Church,112480945,,"$11,000",DFTA,,111-10 Guy R Brewer Boulevard,,Jamaica,NY,11433,"To support G.E.A.R.S, a support group for grandparents raising their grandchildren.  ",,
Local,Comrie,Calvary Baptist Church,112480945,,"$5,000",DFTA,,111-10 Guy R Brewer Boulevard,,Jamaica,NY,11433,"To support grandparents raising their grandchildren, providing respite, guidance and activites.",,
Youth,Lander,"CAMBA, Inc.",112480339,,"$5,000",DYCD,,1720 Church Avenue,,Brooklyn,NY,11226,"To support the Youth Empowerment Program at PS 269.  Funding will pay for annual youth leadership retreat, career and college advisement and other program actitives.",,
Local,Eugene,"CAMBA, Inc.",112480339,,"$4,000",DYCD,,1720 Church Avenue,,Brooklyn,NY,11226,"Funds will be used to support Community Development and will provide programming for sanitation receptacles & supplies, economic development, and community gardening.",,
Youth,Williams,"CAMBA, Inc.",112480339,,"$4,000",DYCD,,1720 Church Avenue,,Brooklyn,NY,11226,"To support CAMBA's Beacon Center's Youth Empowerment Program that provides activities including karate, chess soccer, tutering and adult literacy classes. ",,
